Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
XOM,Energy,118.99,1.11,67.83,62.88,Neutral,1.85,115.7895,Bullish,★★★★☆ →,5.16,0.0,2.76,No,Not expected,Not imminent,2.1,Increasing,0.2,5.16,1.4203,1.1131,0.3072,86.52,82.41,108.0256,119.8966,115.4816,111.0666,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,118.94,Low,,6.0,3,New
LLY,Healthcare,1032.47,1.05,65.61,82.87,Overbought,3.44,936.0974,Bullish,★★★★☆ ↓,14.02,0.0,10.3,Possible,Likely soon,Not imminent,2.4,Increasing,1.0,14.02,48.7366,41.3941,7.3426,95.8,95.94,783.7082,1079.9575,913.519,747.0806,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP; Above BB Middle,1031.9,High,,1.0,3,New
PFE,Healthcare,25.5,1.69,64.43,60.45,Neutral,2.69,24.8091,Bullish,★★★★☆ →,6.81,0.0,2.81,No,Not expected,Not imminent,1.8,Increasing,0.02,6.81,0.2935,0.1895,0.104,53.96,61.53,23.9569,25.8685,24.58,23.2915,Strong trend; Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,25.57,Low,,5.0,3,New
SLV,Unknown,46.13,1.46,55.16,56.24,Neutral,2.62,45.1442,Bullish,★★★☆☆ →,7.94,0.0,2.19,No,Not expected,Not imminent,1.9,Decreasing,0.03,7.94,0.5794,0.4681,0.1113,54.68,65.02,34.9168,47.8403,44.5948,41.3492,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,46.36,Low,,4.0,3,New
GOOGL,Communication Services,284.67,-0.12,51.71,61.37,Neutral,3.4,276.2369,Bullish,★★★☆☆ →,2.57,0.0,3.05,No,Not expected,Not imminent,2.3,Increasing,0.12,2.57,4.6344,6.2625,-1.628,54.98,55.25,193.6827,299.7763,277.0305,254.2847,Strong trend; Above VWAP; Above BB Middle,284.4,Low,,10.0,3,New
GDX,Unknown,75.93,1.31,51.7,53.73,Neutral,3.51,74.6419,Bullish,★★★☆☆ →,11.21,0.0,1.73,No,Not expected,Not imminent,1.9,Decreasing,0.03,11.21,0.7098,0.2674,0.4424,63.57,69.77,54.0949,78.9844,73.3048,67.6251,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,76.51,Low,,2.0,3,New
DE,Industrials,474.64,-0.28,49.12,54.01,Neutral,2.17,471.2615,Neutral,★★★☆☆ →,1.35,0.0,0.72,No,Not expected,Not imminent,1.8,Increasing,0.01,1.35,2.7066,2.8546,-0.1481,69.39,70.25,470.8725,482.92,471.592,460.264,Above VWAP; Above BB Middle,474.94,Low,,12.0,3,New
ADBE,Technology,324.96,-0.03,43.88,37.1,Neutral,2.19,335.4678,Bearish,★★★☆☆ →,-3.1,0.0,-3.13,No,Not expected,Not imminent,2.2,Decreasing,0.0,-3.1,-4.1779,-3.5745,-0.6034,14.52,19.56,392.46,361.0994,338.6682,316.2371,Balanced metrics,323.9,Low,,19.0,3,New
NFLX,Communication Services,114.4,3.73,40.32,51.26,Neutral,2.79,113.1173,Bullish,★★★☆☆ →,4.67,0.0,1.13,No,Not expected,Not imminent,2.3,Decreasing,0.01,4.67,-0.2165,-0.8316,0.6151,49.3,58.5,106.7911,115.358,111.2474,107.1368,Bullish MACD; Above VWAP; Above BB Middle,114.51,Low,,8.0,3,New
COST,Consumer Defensive,894.52,-1.98,39.87,36.1,Neutral,1.7,920.8936,Bearish,★★★☆☆ →,-4.91,0.0,-2.86,No,Not expected,Not imminent,2.1,Increasing,0.0,-4.91,-5.5801,-3.2433,-2.3369,17.71,28.15,960.995,946.8376,922.823,898.8084,Balanced metrics,894.25,Low,,29.0,3,New
CRM,Technology,233.25,-1.59,36.73,38.12,Neutral,3.26,245.1807,Bearish,★★☆☆☆ →,-8.33,0.0,-4.87,No,Not expected,Not imminent,1.9,Decreasing,0.0,-8.33,-3.6662,-1.781,-1.8851,17.45,23.84,275.9346,265.7578,248.949,232.1403,Balanced metrics,235.0,Low,,33.0,,New
SMCI,Technology,35.09,2.9,34.31,30.13,Neutral,7.85,42.395,Bearish,★★☆☆☆ →,-25.97,0.0,-17.23,No,Not expected,Not imminent,1.9,Decreasing,0.01,-25.97,-3.9316,-3.2162,-0.7154,7.85,6.43,41.6633,58.0137,44.278,30.5423,Balanced metrics,34.9,High,,43.0,,New
GLD,Unknown,374.35,0.73,32.93,52.58,Neutral,1.68,373.3278,Neutral,★★☆☆☆ →,3.32,0.0,0.27,No,Not expected,Not imminent,2.2,Decreasing,0.03,3.32,1.3859,1.5042,-0.1183,47.73,61.25,314.5823,386.1688,372.3645,358.5602,Above VWAP; Above BB Middle,374.87,Low,,9.0,,New
SPY,Unknown,661.44,-0.64,32.62,40.15,Neutral,1.3,673.2981,Bearish,★★☆☆☆ →,-2.04,0.0,-1.76,No,Not expected,Not imminent,2.2,Increasing,0.05,-2.04,-2.1274,0.6446,-2.772,23.94,35.18,605.1702,691.6989,676.7365,661.7741,Above VWAP,664.04,Low,,17.0,,New
