Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
MDT,Healthcare,102.01,5.95,77.52,76.8,Overbought,1.83,94.7378,Bullish,★★★★☆ ↓,12.82,0.0,7.68,No,Not expected,Imminent,2.3,Increasing,1.0,12.82,1.4599,0.2589,1.2011,91.25,90.95,87.5349,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,104.63,High,,101.0,3,New
IBB,Unknown,166.35,0.66,74.19,73.51,Overbought,2.06,159.8603,Bullish,★★★★☆ ↓,6.58,0.0,4.06,No,Not expected,Not imminent,2.2,Increasing,1.0,6.58,2.7736,2.3727,0.4009,86.83,83.44,136.07,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,168.53,High,,235.0,3,New
BIIB,Healthcare,168.58,2.37,74.18,71.14,Overbought,3.6,157.1828,Bullish,★★★★☆ ↓,12.89,0.0,7.25,No,Not expected,Not imminent,1.9,Increasing,1.0,12.89,4.6307,3.3794,1.2513,93.34,92.37,139.3069,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,172.93,High,,100.0,3,New
INSM,Healthcare,200.05,1.34,74.15,73.58,Overbought,4.18,184.5941,Bullish,★★★★☆ ↓,9.45,0.0,8.37,No,Likely soon,Imminent,2.4,Increasing,1.0,9.45,6.852,6.8236,0.0284,95.27,91.03,101.2997,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,203.83,High,,156.0,3,New
JNJ,Healthcare,199.4,-0.09,74.12,74.07,Overbought,1.5,191.9316,Bullish,★★★★☆ ↓,6.71,0.0,3.89,No,Not expected,Not imminent,2.1,Increasing,0.5,6.71,2.6584,1.3209,1.3375,93.24,92.38,161.0494,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,202.08,High,,229.0,3,New
MBX,Healthcare,26.3,2.69,73.59,72.99,Overbought,8.47,22.276,Bullish,★★★★☆ ↓,27.55,0.0,18.06,No,Likely soon,Not imminent,2.4,Increasing,1.0,27.55,1.8957,1.8942,0.0015,89.2,84.86,16.0831,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,27.75,High,,21.0,3,New
TIGO,Communication Services,53.95,0.78,73.52,73.59,Overbought,3.19,49.2796,Bullish,★★★★☆ ↓,17.77,0.0,9.48,No,Likely soon,Imminent,2.4,Increasing,1.0,17.77,1.5275,0.8273,0.7002,91.58,86.27,35.9873,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,55.87,High,,61.0,3,New
L,Financial Services,105.12,0.87,72.29,72.01,Overbought,1.59,102.2477,Bullish,★★★★☆ ↓,4.45,0.0,2.81,No,Not expected,Not imminent,2.3,Increasing,1.0,4.45,1.2391,0.8989,0.3402,91.52,90.53,90.1545,Strong trend; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,106.06,High,,320.0,3,New
SU,Energy,44.86,1.01,72.24,74.22,Overbought,2.21,42.2906,Bullish,★★★★☆ ↓,13.54,0.0,6.08,No,Not expected,Not imminent,2.2,Increasing,1.0,13.54,1.1839,0.8662,0.3177,94.43,91.32,37.8869,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,46.07,High,,92.0,3,New
AMGN,Healthcare,341.74,0.01,72.21,78.09,Overbought,2.77,318.8952,Bullish,★★★★☆ ↓,15.18,0.0,7.16,Possible,Not expected,Not imminent,2.0,Increasing,1.0,15.18,11.3954,9.1123,2.2831,90.01,87.35,284.4511,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,352.12,High,,81.0,3,New
OHI,Real Estate,44.96,1.77,72.05,71.87,Overbought,2.28,42.6308,Bullish,★★★★☆ ↓,4.61,0.0,5.46,No,Not expected,Imminent,1.9,Increasing,1.0,4.61,0.9697,0.8263,0.1434,95.98,91.51,37.0491,Strong trend; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,45.37,High,,306.5,,New
RVMD,Healthcare,69.64,0.72,71.45,83.52,Overbought,3.68,61.3309,Bullish,★★★★☆ ↓,18.9,0.0,13.55,Possible,Likely soon,Imminent,1.8,Increasing,1.0,18.9,3.6113,3.1097,0.5015,94.78,91.92,42.9439,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,72.27,High,,49.0,,New
LLY,Healthcare,1038.54,1.65,71.38,83.38,Overbought,3.41,936.6755,Bullish,★★★★☆ ↓,14.69,0.0,10.88,Possible,Likely soon,Imminent,2.4,Increasing,1.0,14.69,49.4111,41.5289,7.8821,96.82,96.28,783.4305,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,1069.05,High,,85.0,,New
