Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
XOM,Energy,119.03,1.15,67.85,62.97,Neutral,1.85,115.7933,Bullish,★★★★☆ →,5.2,0.0,2.8,No,Not expected,Not imminent,2.1,Increasing,0.2,5.2,1.4247,1.114,0.3107,86.68,82.46,108.0003,119.9053,115.4836,111.0619,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,118.98,Low,,6.0,3,New
LLY,Healthcare,1030.05,0.82,65.66,82.65,Overbought,3.45,935.8669,Bullish,★★★★☆ ↓,13.75,0.0,10.06,Possible,Likely soon,Not imminent,2.3,Increasing,1.0,13.75,48.4677,41.3403,7.1274,95.45,95.83,784.3456,1079.4755,913.398,747.3206,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP; Above BB Middle,1029.17,High,,1.0,3,New
PFE,Healthcare,25.45,1.48,64.52,59.9,Neutral,2.69,24.8039,Bullish,★★★★☆ →,6.58,0.0,2.61,No,Not expected,Not imminent,1.8,Increasing,0.02,6.58,0.2874,0.1883,0.0991,53.3,61.31,23.9607,25.8576,24.5772,23.2968,Strong trend; Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,25.52,Low,,5.0,3,New
SLV,Unknown,46.1,1.39,55.19,56.11,Neutral,2.62,45.1409,Bullish,★★★☆☆ →,7.86,0.0,2.12,No,Not expected,Not imminent,1.9,Decreasing,0.03,7.86,0.5755,0.4673,0.1082,54.49,64.95,34.9355,47.8351,44.593,41.3509,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,46.32,Low,,4.0,3,New
GDX,Unknown,75.63,0.91,51.11,53.11,Neutral,3.52,74.6128,Bullish,★★★☆☆ →,10.76,0.0,1.36,No,Not expected,Not imminent,1.9,Decreasing,0.03,10.76,0.6759,0.2606,0.4153,62.7,69.48,54.2134,78.9409,73.2895,67.6381,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,76.25,Low,,2.0,3,New
GOOGL,Communication Services,284.28,-0.26,49.31,60.97,Neutral,3.4,276.1998,Bullish,★★★☆☆ →,2.43,0.0,2.93,No,Not expected,Not imminent,2.3,Increasing,0.12,2.43,4.5911,6.2538,-1.6627,54.43,55.07,193.798,299.7298,277.011,254.2922,Strong trend; Above VWAP; Above BB Middle,284.09,Low,,10.0,3,New
DE,Industrials,473.85,-0.45,48.68,53.3,Neutral,2.17,471.1862,Neutral,★★★☆☆ →,1.19,0.0,0.57,No,Not expected,Not imminent,1.8,Increasing,0.01,1.19,2.6188,2.8371,-0.2183,68.53,69.96,471.1916,482.8412,471.5525,460.2638,Above VWAP; Above BB Middle,474.25,Low,,12.0,3,New
ADBE,Technology,324.47,-0.18,43.82,36.76,Neutral,2.19,335.4207,Bearish,★★★☆☆ →,-3.24,0.0,-3.26,No,Not expected,Not imminent,2.2,Decreasing,0.0,-3.24,-4.2329,-3.5855,-0.6474,13.83,19.33,392.1583,361.1393,338.6435,316.1477,Balanced metrics,323.34,Low,,19.0,3,New
NFLX,Communication Services,114.09,3.45,41.1,50.64,Neutral,2.79,113.0878,Neutral,★★★☆☆ →,4.39,0.0,0.89,No,Not expected,Not imminent,2.3,Decreasing,0.01,4.39,-0.2509,-0.8385,0.5875,48.2,58.13,106.8943,115.2945,111.2319,107.1693,Bullish MACD; Above VWAP; Above BB Middle,114.17,Low,,8.0,3,New
COST,Consumer Defensive,895.08,-1.92,36.53,36.28,Neutral,1.7,920.9469,Bearish,★★☆☆☆ →,-4.85,0.0,-2.81,No,Not expected,Not imminent,2.2,Increasing,0.0,-4.85,-5.5179,-3.2308,-2.2871,18.07,28.27,961.088,946.7275,922.851,898.9744,Balanced metrics,895.15,Low,,28.0,3,New
CRM,Technology,233.5,-1.49,36.04,38.28,Neutral,3.26,245.2045,Bearish,★★☆☆☆ →,-8.23,0.0,-4.77,No,Not expected,Not imminent,1.9,Decreasing,0.0,-8.23,-3.6384,-1.7755,-1.8629,17.71,23.93,275.8233,265.7214,248.9615,232.2016,Balanced metrics,235.23,Low,,33.0,,New
GLD,Unknown,374.35,0.73,32.93,52.58,Neutral,1.68,373.3278,Neutral,★★☆☆☆ →,3.32,0.0,0.27,No,Not expected,Not imminent,2.1,Decreasing,0.03,3.32,1.3859,1.5042,-0.1183,47.73,61.25,314.7539,386.1688,372.3645,358.5602,Above VWAP; Above BB Middle,374.84,Low,,9.0,,New
CVX,Energy,153.62,-0.78,32.25,47.28,Neutral,2.02,154.754,Neutral,★★☆☆☆ →,0.15,0.0,-0.73,No,Not expected,Not imminent,2.3,Increasing,0.0,0.15,0.1237,0.1662,-0.0425,47.23,50.27,148.4514,157.8378,154.917,151.9962,Above VWAP,153.26,Low,,13.0,,New
