Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
L,Financial Services,104.21,-0.19,81.49,68.6,Neutral,1.56,101.9453,Bullish,★★★★☆ →,4.82,0.0,2.22,No,Not expected,Not imminent,2.3,Increasing,0.25,4.82,Balanced metrics,105.21,Low,,270.5,3,New
BNS,Financial Services,67.34,-0.16,78.76,65.29,Neutral,1.3,66.154,Bullish,★★★★☆ →,2.51,0.0,1.79,No,Not expected,Not imminent,2.2,Increasing,0.17,2.51,Balanced metrics,67.68,Low,,403.0,3,New
CM,Financial Services,86.83,-0.39,78.26,69.33,Neutral,1.4,84.3059,Bullish,★★★★☆ →,3.6,0.0,2.99,No,Not expected,Not imminent,2.7,Increasing,0.25,3.6,Strong trend,87.46,Low,,335.0,3,New
TTE,Energy,65.01,-0.6,78.08,68.38,Neutral,1.51,62.7439,Bullish,★★★★☆ →,5.59,0.0,3.61,No,Not expected,Not imminent,2.0,Increasing,0.25,5.59,Strong trend; Healthy momentum,65.74,Low,,228.0,3,New
ALB,Basic Materials,117.7,2.22,77.97,71.24,Overbought,5.47,102.0422,Bullish,★★★★☆ ↓,21.93,0.0,15.34,No,Likely soon,Not imminent,2.0,Increasing,1.0,21.93,Strong trend; Healthy momentum; Recent high,122.86,High,,32.0,3,New
IBB,Unknown,165.26,0.65,77.94,71.9,Overbought,2.06,159.1777,Bullish,★★★★☆ ↓,4.95,0.0,3.82,No,Not expected,Not imminent,2.2,Increasing,1.0,4.95,Strong trend; Recent high,166.9,High,,261.0,3,New
GPCR,Healthcare,37.44,1.68,77.88,72.27,Overbought,5.39,32.8048,Bullish,★★★★☆ ↓,14.29,0.0,14.13,No,Likely soon,Not imminent,1.9,Increasing,1.0,14.29,Strong trend; Healthy momentum; Recent high,38.51,High,,67.0,3,New
XLV,Unknown,151.7,-0.09,77.8,74.62,Overbought,1.31,147.5618,Bullish,★★★★☆ ↓,5.02,0.0,2.8,No,Not expected,Not imminent,1.9,Increasing,0.17,5.02,Strong trend; Healthy momentum,153.22,High,,254.5,3,New
MFC,Financial Services,33.79,-1.66,77.56,61.36,Neutral,2.01,33.2099,Bullish,★★★★☆ →,2.33,0.0,1.75,No,Not expected,Not imminent,1.9,Increasing,0.17,2.33,Balanced metrics,33.95,Low,,418.0,3,New
CRMLW,Basic Materials,3.64,,77.41,,N/A,,3.64,Neutral,★★★★☆  ?,,0.0,0.0,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,,,Low,calc_error:TypeError,695.0,3,New
