Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
LLY,Healthcare,1054.62,0.48,72.18,84.76,Overbought,3.16,956.9769,Bullish,★★★★☆ ↓,12.67,0.0,10.2,Possible,Likely soon,Not imminent,2.4,Increasing,1.0,12.67,48.6252,44.0141,4.6111,97.15,96.13,786.1036,1108.1964,937.0553,765.9142,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,1056.21,High,,1.0,3,New
GOOGL,Communication Services,300.57,2.65,66.93,69.94,Neutral,3.39,279.952,Bullish,★★★★☆ →,5.56,0.0,7.36,No,Not expected,Not imminent,2.3,Increasing,1.0,5.56,6.3702,6.11,0.2603,69.61,62.59,194.9299,300.0787,281.4415,262.8043,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,300.55,Low,,4.0,3,New
XOM,Energy,118.75,1.19,66.47,60.23,Neutral,1.87,116.209,Bullish,★★★★☆ →,4.62,0.0,2.19,No,Not expected,Not imminent,2.1,Increasing,0.14,4.62,1.2417,1.1601,0.0816,83.16,82.89,108.0365,120.4628,115.8541,111.2454,Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,118.66,Low,,6.0,3,New
WMT,Consumer Defensive,106.73,6.08,65.02,62.14,Neutral,1.91,103.0746,Bullish,★★★★☆ →,4.97,0.0,3.55,No,Not expected,Not imminent,2.3,Increasing,0.03,4.97,0.0456,-0.3123,0.3579,58.81,59.97,95.6879,105.8596,102.764,99.6684,Strong trend; Bullish MACD; Above VWAP; Above BB Middle,106.25,Low,,5.0,3,New
SLV,Unknown,46.18,-0.58,64.3,56.03,Neutral,2.69,45.3527,Bullish,★★★★☆ →,6.04,0.0,1.82,No,Not expected,Not imminent,1.9,Increasing,0.03,6.04,0.5293,0.4968,0.0325,60.31,57.1,35.0266,48.1985,44.8215,41.4445,Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,46.05,Low,,3.0,3,New
AVGO,Technology,368.26,3.9,62.93,58.63,Neutral,4.11,352.7028,Bullish,★★★★☆ →,3.56,0.0,4.41,No,Not expected,Not imminent,2.1,Increasing,0.04,3.56,0.0303,-0.8082,0.8385,51.42,35.09,245.7073,382.4748,357.6778,332.8807,Strong trend; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,365.81,Low,,7.0,3,New
GDX,Unknown,76.36,-0.04,54.48,54.64,Neutral,3.47,74.9324,Bullish,★★★☆☆ →,7.91,0.0,1.91,No,Not expected,Not imminent,1.9,Decreasing,0.03,7.91,0.7138,0.4233,0.2905,67.35,64.47,54.4041,79.5474,73.59,67.6326,Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,76.33,Low,,2.0,3,New
ADBE,Technology,318.07,-0.01,42.78,32.57,Neutral,2.23,332.2761,Bearish,★★★☆☆ →,-2.84,0.0,-4.28,No,Not expected,Not imminent,2.2,Decreasing,0.0,-2.84,-5.5632,-4.2219,-1.3413,12.22,12.28,391.5924,358.0352,335.0417,312.0483,Balanced metrics,316.89,Low,,23.0,3,New
DE,Industrials,478.4,0.76,41.17,57.01,Neutral,2.1,472.1821,Bullish,★★★☆☆ →,0.64,0.0,1.32,No,Not expected,Not imminent,1.8,Decreasing,0.01,0.64,2.5193,2.6965,-0.1772,69.58,68.35,471.4522,483.3887,472.622,461.8553,Bullish Stochastic; Above VWAP; Above BB Middle,477.93,Low,,12.0,3,New
COST,Consumer Defensive,895.57,0.56,39.99,37.85,Neutral,1.8,915.9152,Bearish,★★★☆☆ →,-3.03,0.0,-2.22,No,Not expected,Not imminent,2.2,Increasing,0.0,-3.03,-8.173,-4.9062,-3.2668,18.46,16.33,960.656,944.2094,917.9562,891.703,Balanced metrics,896.61,Low,,24.0,3,New
