Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
NTRA,Healthcare,213.65,3.69,82.76,70.86,Overbought,4.02,198.7683,Bullish,★★★★☆ ↓,8.76,0.0,7.49,No,Not expected,Imminent,1.9,Increasing,1.0,8.76,5.2735,5.1904,0.0832,82.2,76.36,161.6125,213.0113,199.121,185.2307,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,213.11,High,,190.0,3,New
TIGO,Communication Services,56.1,4.8,80.7,77.62,Overbought,3.33,49.4843,Bullish,★★★★☆ ↓,22.46,0.0,13.37,No,Likely soon,Imminent,2.4,Increasing,1.0,22.46,1.7664,0.8751,0.8913,92.08,86.44,36.0951,54.0422,48.789,43.5358,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,56.86,High,,34.0,3,New
IBB,Unknown,166.47,0.73,80.55,73.69,Overbought,2.08,159.8722,Bullish,★★★★☆ ↓,6.66,0.0,4.13,No,Not expected,Not imminent,2.2,Increasing,1.0,6.66,2.7874,2.3754,0.412,87.16,83.55,136.2882,167.1521,159.3985,151.6449,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,166.47,High,,246.0,3,New
JNJ,Healthcare,200.0,0.21,79.28,75.31,Overbought,1.5,191.9887,Bullish,★★★★☆ ↓,7.03,0.0,4.17,No,Not expected,Not imminent,2.1,Increasing,1.0,7.03,2.725,1.3342,1.3908,94.52,92.8,161.2084,199.7588,190.8805,182.0022,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,201.0,High,,235.0,3,New
INSM,Healthcare,201.62,2.14,79.18,74.46,Overbought,4.27,184.7437,Bullish,★★★★☆ ↓,10.31,0.0,9.14,No,Likely soon,Imminent,2.4,Increasing,1.0,10.31,7.0264,6.8585,0.168,93.58,90.46,101.6588,211.0263,182.736,154.4457,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,202.21,High,,155.5,3,New
OHI,Real Estate,45.12,2.13,79.13,72.53,Overbought,2.34,42.646,Bullish,★★★★☆ ↓,4.98,0.0,5.8,No,Not expected,Imminent,1.9,Increasing,1.0,4.98,0.9875,0.8299,0.1577,94.51,91.02,37.0799,46.0845,42.0796,38.0748,Strong trend; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,44.87,High,,314.0,3,New
MBX,Healthcare,26.36,2.93,74.96,73.13,Overbought,8.51,22.2817,Bullish,★★★★☆ ↓,27.84,0.0,18.3,No,Likely soon,Not imminent,2.4,Increasing,1.0,27.84,1.9024,1.8955,0.0069,89.5,84.96,16.0972,28.9395,21.775,14.6105,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,26.25,High,,24.0,3,New
OUT,Real Estate,22.26,3.25,74.46,76.68,Overbought,3.66,19.7769,Bullish,★★★★☆ ↓,26.98,0.0,12.56,Possible,Likely soon,Imminent,1.8,Increasing,1.0,26.98,1.103,0.7419,0.3611,95.42,95.04,17.2268,22.926,19.122,15.318,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,22.28,High,,25.0,3,New
SEE,Consumer Cyclical,42.81,2.12,73.39,73.9,Overbought,3.89,37.8408,Bullish,★★★★☆ ↓,19.68,0.0,13.13,No,Likely soon,Not imminent,1.8,Increasing,0.2,19.68,2.0372,1.2306,0.8066,86.32,85.24,32.554,43.246,36.7535,30.261,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,42.4,High,,50.0,3,New
SU,Energy,45.2,1.78,73.39,75.48,Overbought,2.28,42.323,Bullish,★★★★☆ ↓,14.4,0.0,6.8,Possible,Not expected,Imminent,2.2,Increasing,1.0,14.4,1.2217,0.8738,0.3479,93.83,91.12,37.8909,45.8534,41.5865,37.3196,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,45.35,High,,93.0,3,New
AMGN,Healthcare,343.99,0.67,73.31,78.97,Overbought,2.79,319.1095,Bullish,★★★★☆ ↓,15.94,0.0,7.8,Possible,Not expected,Not imminent,2.0,Increasing,1.0,15.94,11.6454,9.1623,2.4831,91.31,87.78,284.6859,353.593,312.578,271.563,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,343.42,High,,77.0,,New
L,Financial Services,105.12,0.87,72.75,72.01,Overbought,1.6,102.2477,Bullish,★★★★☆ ↓,4.45,0.0,2.81,No,Not expected,Not imminent,2.3,Increasing,1.0,4.45,1.2391,0.8989,0.3402,91.18,90.42,90.207,106.0041,101.4695,96.9349,Strong trend; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,104.94,High,,349.5,,New
SRRK,Healthcare,39.81,9.14,72.69,71.3,Overbought,5.57,32.2052,Bullish,★★★★☆ ↓,41.91,0.0,23.6,No,Likely soon,Imminent,1.7,Increasing,0.0,41.91,1.8208,0.2817,1.5391,85.79,78.15,34.5011,37.189,30.6403,24.0915,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,40.06,High,,9.0,,New
