Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
PACS,Healthcare,26.49,57.42,79.38,83.22,Overbought,7.88,14.2841,Bullish,★★★★☆ ↓,112.29,0.0,85.48,No,Likely soon,Imminent,1.6,Increasing,1.0,112.29,2.0335,0.4913,1.5423,84.54,72.23,12.9009,20.211,13.3667,6.5224,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,33.64,High,,10.0,3,New
EXAS,Healthcare,101.54,17.82,76.76,91.21,Overbought,4.84,71.0412,Bullish,★★★★☆ ↓,51.06,0.0,42.93,No,Likely soon,Imminent,2.0,Increasing,1.0,51.06,6.172,2.7222,3.4497,85.25,68.46,55.477,87.2965,69.1735,51.0505,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,109.9,High,,12.0,3,New
GGLL,Unknown,95.54,6.92,75.46,70.19,Overbought,6.21,82.5329,Bullish,★★★★☆ ↓,12.14,0.0,15.76,No,Likely soon,Not imminent,2.4,Increasing,1.0,12.14,3.5822,3.2337,0.3485,73.61,62.92,44.3747,93.9771,83.254,72.5309,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,95.8,High,,120.5,3,New
GOOGL,Communication Services,302.89,3.44,75.42,70.92,Overbought,3.32,280.173,Bullish,★★★★☆ ↓,6.37,0.0,8.11,No,Likely soon,Not imminent,2.3,Increasing,1.0,6.37,6.628,6.1615,0.4665,73.38,63.85,194.7897,300.7176,281.5575,262.3974,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,302.86,High,,258.5,3,New
GOOG,Communication Services,303.39,3.55,75.32,71.27,Overbought,3.27,280.7331,Bullish,★★★★☆ ↓,6.32,0.0,8.07,No,Likely soon,Not imminent,2.4,Increasing,1.0,6.32,6.5835,6.1344,0.4491,73.44,63.76,195.7004,301.1199,282.1263,263.1328,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,303.24,High,,261.0,3,New
LITE,Technology,280.5,4.31,75.03,72.72,Overbought,8.42,229.9204,Bullish,★★★★☆ ↓,17.03,0.0,22.0,No,Likely soon,Imminent,2.4,Increasing,1.0,17.03,18.0667,16.0512,2.0155,85.6,74.28,118.2033,285.7674,227.602,169.4366,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,272.52,High,,74.0,3,New
ABVX,Healthcare,118.89,5.26,74.98,73.0,Overbought,5.05,105.2059,Bullish,★★★★☆ ↓,14.43,0.0,13.01,No,Likely soon,Imminent,2.5,Increasing,1.0,14.43,4.9044,3.8874,1.017,89.0,87.59,61.9334,118.7769,104.0478,89.3186,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,119.78,High,,94.0,3,New
PTCT,Healthcare,77.14,2.04,74.72,75.7,Overbought,3.55,72.3857,Bullish,★★★★☆ ↓,6.27,0.0,6.57,Possible,Not expected,Not imminent,1.9,Increasing,1.0,6.27,2.2065,2.0516,0.155,91.4,88.69,52.4124,79.1285,71.6532,64.178,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,77.19,High,,263.5,3,New
OUT,Real Estate,22.33,1.06,74.68,75.57,Overbought,3.64,20.2207,Bullish,★★★★☆ ↓,26.76,0.0,10.46,Possible,Likely soon,Not imminent,1.8,Increasing,1.0,26.76,1.0821,0.8658,0.2162,94.13,93.99,17.2511,23.6982,19.5312,15.3643,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,22.35,High,,35.0,3,New
IBB,Unknown,167.35,1.29,74.63,72.19,Overbought,1.97,161.0452,Bullish,★★★★☆ ↓,5.63,0.0,3.91,No,Not expected,Imminent,2.1,Increasing,1.0,5.63,2.7637,2.5006,0.2631,91.78,88.99,136.4474,168.5555,160.602,152.6485,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,167.2,High,,294.5,3,New
NTRA,Healthcare,225.81,3.42,74.36,77.37,Overbought,3.83,203.031,Bullish,★★★★☆ ↓,13.77,0.0,11.22,Possible,Likely soon,Imminent,1.9,Increasing,1.0,13.77,7.3367,5.7639,1.5727,95.82,89.04,162.0463,220.9363,202.178,183.4197,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,227.33,High,,99.0,,New
MBX,Healthcare,28.35,3.5,74.09,77.31,Overbought,7.55,23.2998,Bullish,★★★★☆ ↓,14.59,0.0,21.67,Possible,Likely soon,Imminent,2.4,Increasing,1.0,14.59,2.1006,1.9509,0.1497,95.11,92.02,16.1524,29.6172,23.0165,16.4158,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,28.28,High,,93.0,,New
CSCO,Technology,79.36,1.24,74.06,73.85,Overbought,2.55,74.5069,Bullish,★★★★☆ ↓,11.71,0.0,6.51,No,Not expected,Not imminent,2.1,Increasing,1.0,11.71,1.9803,1.4454,0.5349,86.47,82.7,63.646,79.8099,73.9505,68.0911,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,79.18,High,,126.0,,New
SU,Energy,45.56,1.29,74.05,75.3,Overbought,2.31,42.8603,Bullish,★★★★☆ ↓,8.5,0.0,6.3,Possible,Not expected,Imminent,2.2,Increasing,1.0,8.5,1.249,1.0038,0.2452,96.39,94.54,37.9077,46.6897,42.178,37.6663,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,45.73,High,,191.0,,New
CELC,Healthcare,95.93,1.8,73.92,78.67,Overbought,4.77,81.1864,Bullish,★★★★☆ ↓,29.29,0.0,18.16,Possible,Likely soon,Not imminent,2.0,Increasing,1.0,29.29,6.6896,5.8056,0.8839,90.7,87.97,42.8386,97.3758,80.9108,64.4457,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,98.3,High,,29.0,,New
CNQ,Energy,34.66,1.94,73.91,72.78,Overbought,2.31,32.6571,Bullish,★★★★☆ ↓,10.07,0.0,6.13,No,Not expected,Imminent,2.1,Increasing,1.0,10.07,0.7118,0.4419,0.2699,96.04,92.26,30.5549,34.3963,32.378,30.3597,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,34.67,High,,157.0,,New
