Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
PACS,Healthcare,26.0,54.49,79.5,82.81,Overbought,8.11,14.2371,Bullish,★★★★☆ ↓,108.33,0.0,82.62,No,Likely soon,Imminent,1.6,Increasing,1.0,108.33,1.9787,0.4803,1.4984,83.04,71.73,13.2898,19.9875,13.342,6.6965,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,32.31,High,,10.0,3,New
NTRA,Healthcare,224.98,3.03,79.06,77.01,Overbought,3.97,202.9515,Bullish,★★★★☆ ↓,13.35,0.0,10.85,No,Likely soon,Imminent,1.9,Increasing,1.0,13.35,7.2439,5.7454,1.4985,92.49,87.93,162.3408,220.6755,202.1362,183.597,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,226.48,High,,72.0,3,New
EXAS,Healthcare,101.06,17.26,76.78,91.11,Overbought,4.87,70.9951,Bullish,★★★★☆ ↓,50.33,0.0,42.34,No,Likely soon,Imminent,2.0,Increasing,1.0,50.33,6.1181,2.7114,3.4066,84.82,68.32,57.1868,87.0903,69.1493,51.2082,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,108.55,High,,14.0,3,New
BIIB,Healthcare,169.04,0.66,75.63,70.47,Overbought,2.97,159.2576,Bullish,★★★★☆ ↓,7.85,0.0,6.14,No,Not expected,Not imminent,1.9,Increasing,1.0,7.85,4.7246,3.8622,0.8624,91.32,90.86,139.4987,172.3562,157.385,142.4138,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,168.81,High,,140.0,3,New
ABVX,Healthcare,119.28,5.6,72.3,73.27,Overbought,5.48,105.243,Bullish,★★★★☆ ↓,14.8,0.0,13.34,No,Likely soon,Imminent,2.5,Increasing,1.0,14.8,4.9477,3.896,1.0517,81.71,85.16,63.0148,118.8799,104.0673,89.2546,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP; Above BB Middle,120.21,High,,64.0,3,New
LLY,Healthcare,1045.68,-0.37,72.26,82.61,Overbought,3.22,956.1255,Bullish,★★★★☆ ↓,11.71,0.0,9.37,Possible,Likely soon,Not imminent,2.4,Increasing,0.5,11.71,47.6319,43.8155,3.8164,95.63,95.62,786.3324,1106.4986,936.6083,766.718,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,1046.4,High,,85.0,3,New
JNJ,Healthcare,203.37,0.42,72.15,79.22,Overbought,1.51,193.9793,Bullish,★★★★☆ ↓,8.77,0.0,4.84,Possible,Not expected,Not imminent,2.1,Increasing,1.0,8.77,3.586,2.0871,1.499,96.48,95.7,161.6307,203.4929,191.904,180.3151,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,204.71,High,,125.0,3,New
OLMA,Healthcare,22.17,14.13,71.76,86.12,Overbought,11.56,11.6604,Bullish,★★★★☆ ↓,170.76,0.0,90.17,Possible,Likely soon,Not imminent,2.1,Increasing,1.0,170.76,2.8139,0.9304,1.8836,66.06,56.36,11.2172,19.2205,10.2297,1.239,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,19.37,High,,7.0,3,New
XLV,Unknown,151.85,-0.32,71.56,71.4,Overbought,1.32,148.773,Bullish,★★★★☆ ↓,4.05,0.0,2.07,No,Not expected,Not imminent,1.9,Increasing,0.11,4.05,1.9373,1.8032,0.1341,80.77,80.07,138.2188,154.9941,148.0745,141.1549,Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,151.85,High,,266.0,3,New
BITI,Unknown,23.92,3.81,70.98,74.25,Overbought,3.77,20.8619,Bullish,★★★★☆ ↓,16.56,0.0,14.65,No,Likely soon,Imminent,1.9,Increasing,0.0,16.56,1.0665,0.7168,0.3497,94.32,94.05,20.9278,23.6025,20.3966,17.1907,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,23.43,High,,55.0,3,New
CDTX,Healthcare,219.66,0.29,70.91,88.89,Overbought,5.58,148.3341,Bullish,★★★★☆ ↓,122.69,0.0,48.09,Possible,Likely soon,Imminent,2.0,Increasing,1.0,122.69,31.6973,18.5159,13.1814,99.51,99.43,97.0184,234.8091,132.1391,29.469,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,244.14,High,,9.0,,New
NYT,Communication Services,63.86,0.17,70.77,71.87,Overbought,2.27,61.1294,Bullish,★★★★☆ ↓,6.47,0.0,4.47,No,Not expected,Not imminent,2.3,Increasing,0.12,6.47,1.6099,1.5403,0.0696,89.52,87.75,53.8732,66.7186,60.363,54.0074,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,63.77,High,,172.0,,New
FRO,Energy,25.23,0.12,70.0,59.4,Neutral,3.15,24.513,Bullish,★★★★☆ →,6.37,0.0,2.92,No,Not expected,Not imminent,1.8,Increasing,0.33,6.37,0.4376,0.3748,0.0628,81.75,85.01,18.0576,25.9775,24.4555,22.9335,Strong trend; Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,25.2,Low,,174.0,,New
UVXY,Unknown,63.51,435.5,68.74,95.37,Overbought,7.46,16.0038,Bullish,★★★★☆ ↓,472.16,0.0,296.84,Possible,Likely soon,Imminent,1.4,Increasing,1.0,472.16,6.0522,1.256,4.7962,81.34,76.44,18.0928,37.0028,13.3565,-10.2898,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,57.03,High,,1.0,,New
SMST,Unknown,76.36,10.14,68.73,76.1,Overbought,10.16,51.6856,Bullish,★★★★☆ ↓,65.21,0.0,47.74,No,Likely soon,Imminent,1.9,Increasing,0.0,65.21,8.7016,6.1982,2.5033,83.6,83.33,60.2796,73.9683,48.0646,22.161,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,70.95,High,,12.0,,New
MPLX,Energy,53.37,0.08,68.7,72.76,Overbought,1.64,51.4865,Bullish,★★★★☆ ↓,5.77,0.0,3.65,No,Not expected,Not imminent,2.1,Increasing,1.0,5.77,0.9363,0.8235,0.1129,91.06,91.5,48.4418,54.1527,51.163,48.1734,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP; Above BB Middle,53.29,High,,186.5,,New
L,Financial Services,104.93,-0.35,68.6,69.18,Neutral,1.61,102.7661,Bullish,★★★★☆ →,3.25,0.0,2.11,No,Not expected,Not imminent,2.3,Increasing,0.5,3.25,1.2213,1.023,0.1983,90.93,91.48,90.3196,106.8946,101.9835,97.0724,Bullish MACD; Above VWAP; Above BB Middle,104.84,Low,,318.0,,New
IBB,Unknown,164.69,-0.32,68.57,66.8,Neutral,2.07,160.7919,Bullish,★★★★☆ →,3.95,0.0,2.42,No,Not expected,Not imminent,2.1,Increasing,0.33,3.95,2.4682,2.4415,0.0266,83.92,86.37,136.524,168.0265,160.469,152.9115,Bullish MACD; Above VWAP; Above BB Middle,164.74,Low,,271.5,,New
XBI,Unknown,114.71,0.18,68.41,64.52,Neutral,2.53,111.6668,Bullish,★★★★☆ →,4.96,0.0,2.73,No,Not expected,Not imminent,2.1,Increasing,0.33,4.96,1.5873,1.5038,0.0835,81.81,85.11,89.9276,116.5516,111.8135,107.0755,Strong trend; Bullish MACD; Above VWAP; Above BB Middle,114.81,Low,,211.0,,New
