Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
LLY,Healthcare,1035.06,1.31,71.48,83.09,Overbought,3.43,936.3445,Bullish,★★★★☆ ↓,14.3,0.0,10.54,Possible,Likely soon,Imminent,2.4,Increasing,1.0,14.3,49.0249,41.4517,7.5732,96.18,96.07,783.6657,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP,1064.67,High,,1.0,3,New
XOM,Energy,119.12,1.23,68.7,63.19,Neutral,1.85,115.8023,Bullish,★★★★☆ →,5.28,0.0,2.87,No,Not expected,Not imminent,2.1,Increasing,0.2,5.28,1.4353,1.1161,0.3192,87.07,82.59,108.0212,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP,120.38,Low,,6.0,3,New
PFE,Healthcare,25.44,1.46,66.14,59.85,Neutral,2.69,24.8034,Bullish,★★★★☆ →,6.56,0.0,2.59,No,Not expected,Not imminent,1.8,Increasing,0.02,6.56,0.2868,0.1881,0.0987,53.24,61.29,23.9563,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,25.78,Low,,5.0,3,New
SLV,Unknown,46.15,1.48,56.49,56.27,Neutral,2.62,45.1452,Bullish,★★★☆☆ →,7.97,0.0,2.21,No,Not expected,Not imminent,1.9,Decreasing,0.03,7.97,0.5805,0.4683,0.1122,54.73,65.03,34.9152,Healthy momentum; Bullish MACD; Above VWAP,46.88,Low,,4.0,3,New
GDX,Unknown,75.89,1.26,52.41,53.65,Neutral,3.51,74.6381,Bullish,★★★☆☆ →,11.15,0.0,1.68,No,Not expected,Not imminent,1.9,Decreasing,0.03,11.15,0.7054,0.2665,0.4388,63.45,69.73,54.0906,Healthy momentum; Bullish MACD; Above VWAP,77.59,Low,,3.0,3,New
DE,Industrials,474.28,-0.36,52.4,53.69,Neutral,2.17,471.2272,Neutral,★★★☆☆ →,1.28,0.0,0.65,No,Not expected,Not imminent,1.8,Increasing,0.01,1.28,2.6666,2.8466,-0.1801,69.0,70.12,470.8715,Above VWAP,475.49,Low,,12.0,3,New
GOOGL,Communication Services,286.16,0.4,51.26,62.43,Neutral,3.38,276.3792,Bullish,★★★☆☆ →,3.11,0.0,3.54,No,Not expected,Not imminent,2.3,Increasing,0.12,3.11,4.8004,6.2957,-1.4953,57.13,55.97,193.6597,Strong trend; Bullish Stochastic; Above VWAP,287.94,Low,,10.0,3,New
ADBE,Technology,325.61,0.17,44.87,37.81,Neutral,2.18,335.5297,Bearish,★★★☆☆ →,-2.9,0.0,-2.95,No,Not expected,Not imminent,2.2,Decreasing,0.0,-2.9,-4.1057,-3.5601,-0.5456,15.43,19.86,392.4834,Balanced metrics,323.73,Low,,18.0,3,New
COST,Consumer Defensive,896.55,-1.76,41.33,36.76,Neutral,1.68,921.0867,Bearish,★★★☆☆ →,-4.7,0.0,-2.66,No,Not expected,Not imminent,2.1,Increasing,0.0,-4.7,-5.3548,-3.1982,-2.1566,17.48,28.07,961.0287,Balanced metrics,888.12,Low,,29.0,3,New
NFLX,Communication Services,114.1,3.45,41.09,50.66,Neutral,2.78,113.0887,Neutral,★★★☆☆ →,4.4,0.0,0.89,No,Not expected,Not imminent,2.3,Decreasing,0.01,4.4,-0.2498,-0.8383,0.5884,48.23,58.15,106.7883,Bullish MACD; Above VWAP,115.1,Low,,7.0,3,New
WMT,Consumer Defensive,101.83,-1.08,39.6,43.69,Neutral,1.61,102.9511,Bearish,★★★☆☆ →,-0.43,0.0,-1.08,No,Not expected,Not imminent,2.4,Decreasing,0.03,-0.43,-0.322,-0.3586,0.0366,69.18,61.34,95.4593,Bullish MACD; Bullish Stochastic; Above VWAP,101.75,Low,,15.0,,New
AAPL,Technology,267.96,0.19,38.77,55.4,Neutral,2.08,267.3603,Neutral,★★★☆☆ →,-0.67,0.0,0.23,No,Not expected,Not imminent,2.5,Increasing,0.12,-0.67,1.7779,3.0015,-1.2236,31.95,49.18,225.3742,Above VWAP,267.61,Low,,16.0,,New
SPY,Unknown,661.8,-0.58,37.21,40.39,Neutral,1.3,673.3324,Bearish,★★☆☆☆ →,-1.99,0.0,-1.71,No,Not expected,Not imminent,2.2,Increasing,0.05,-1.99,-2.0874,0.6526,-2.74,24.34,35.31,605.1461,Above VWAP,659.17,Low,,17.0,,New
GLD,Unknown,374.52,0.77,36.21,52.7,Neutral,1.68,373.3435,Neutral,★★☆☆☆ →,3.37,0.0,0.31,No,Not expected,Not imminent,2.2,Decreasing,0.03,3.37,1.4042,1.5079,-0.1036,47.94,61.32,314.5729,Above VWAP,377.04,Low,,9.0,,New
CVX,Energy,153.63,-0.77,36.11,47.32,Neutral,2.02,154.7554,Neutral,★★☆☆☆ →,0.16,0.0,-0.72,No,Not expected,Not imminent,2.3,Increasing,0.0,0.16,0.1254,0.1665,-0.0411,47.3,50.29,148.4674,Above VWAP,153.68,Low,,13.0,,New
CRM,Technology,232.64,-1.85,35.21,37.72,Neutral,3.27,245.1226,Bearish,★★☆☆☆ →,-8.57,0.0,-5.09,No,Not expected,Not imminent,1.9,Decreasing,0.0,-8.57,-3.7339,-1.7946,-1.9393,16.81,23.63,275.9465,Balanced metrics,228.65,Low,,34.0,,New
QQQ,Unknown,598.26,-0.89,34.28,40.51,Neutral,1.88,613.1059,Bearish,★★☆☆☆ →,-3.39,0.0,-2.42,No,Not expected,Not imminent,2.3,Increasing,0.05,-3.39,-3.3846,0.3508,-3.7354,20.4,27.26,537.4187,Above VWAP,594.2,Low,,22.0,,New
CAT,Industrials,547.01,-0.91,33.92,52.08,Neutral,3.27,550.2069,Neutral,★★☆☆☆ →,-0.1,0.0,-0.58,No,Not expected,Not imminent,2.3,Increasing,0.05,-0.1,3.504,9.3413,-5.8373,26.5,37.93,394.7958,Above VWAP,546.9,Low,,14.0,,New
MSFT,Technology,494.78,-2.5,33.81,37.86,Neutral,2.35,510.481,Bearish,★★☆☆☆ →,-3.8,0.0,-3.08,No,Not expected,Not imminent,2.1,Increasing,0.05,-3.8,-4.2688,-3.1597,-1.1091,23.82,24.12,453.7349,Above VWAP,491.02,Low,,24.0,,New
SMCI,Technology,35.12,2.99,32.82,30.22,Neutral,7.85,42.3979,Bearish,★★☆☆☆ →,-25.91,0.0,-17.17,No,Not expected,Not imminent,1.9,Decreasing,0.01,-25.91,-3.9283,-3.2156,-0.7127,7.9,6.45,41.664,Balanced metrics,33.3,High,,43.0,,New
FSLR,Technology,255.02,0.59,32.02,53.38,Neutral,5.7,253.952,Neutral,★★☆☆☆ →,-2.92,0.0,0.42,No,Not expected,Not imminent,1.6,Increasing,0.07,-2.92,2.7307,6.1011,-3.3704,43.28,47.18,173.0496,Above VWAP,253.54,High,,19.0,,-
UBER,Technology,90.98,-1.23,31.88,40.68,Neutral,3.43,93.5276,Bearish,★★☆☆☆ →,-3.9,0.0,-2.72,No,Not expected,Not imminent,1.9,Increasing,0.02,-3.9,-0.9246,-0.6225,-0.3021,18.94,20.49,80.3705,Above VWAP,90.27,Low,,26.0,,-
IWM,Unknown,234.01,0.54,31.76,38.06,Neutral,1.89,241.2903,Bearish,★★☆☆☆ →,-2.98,0.0,-3.02,No,Not expected,Not imminent,2.0,Increasing,0.03,-2.98,-2.7367,-1.4053,-1.3314,15.49,17.4,219.937,Above VWAP,232.62,Low,,20.0,,-
QCOM,Technology,166.25,-0.3,31.72,43.51,Neutral,3.69,172.2721,Bearish,★★☆☆☆ →,-3.81,0.0,-3.49,No,Not expected,Not imminent,2.1,Decreasing,0.04,-3.81,-1.0283,0.598,-1.6263,21.04,21.35,157.4683,Above VWAP,164.99,Low,,25.0,,-
NKE,Consumer Cyclical,62.44,-0.73,30.96,40.11,Neutral,2.87,64.4546,Bearish,★★☆☆☆ →,1.98,0.0,-3.13,No,Not expected,Not imminent,1.5,Increasing,0.0,1.98,-0.78,-1.0892,0.3092,40.16,44.8,67.9785,Bullish MACD,62.69,Low,,11.0,,-
