Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
AAPL,Unknown,266.81,-0.24,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.6496,2.9758,-1.3262,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
MSFT,Unknown,494.88,-2.48,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-4.2577,-3.1575,-1.1002,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
NVDA,Unknown,181.06,-2.97,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-1.7494,0.5192,-2.2687,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
AMZN,Unknown,226.32,-2.81,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,0.0871,3.4038,-3.3168,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
META,Unknown,587.55,-2.4,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-26.3206,-24.619,-1.7015,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
GOOGL,Unknown,280.89,-1.45,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,4.2144,6.1785,-1.964,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
TSLA,Unknown,398.42,-2.57,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-10.9603,-4.3176,-6.6427,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
AMD,Unknown,227.87,-5.26,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.1167,4.0652,-4.1819,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
INTC,Unknown,33.9,-2.33,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.8642,-0.1301,-0.7341,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
AVGO,Unknown,338.6,-1.18,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.8857,-0.7074,-3.1783,,,,,,,,,Low,calc_error:KeyError,22.5,3,New
