Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
LLY,Healthcare,1029.09,0.72,72.93,82.57,Overbought,3.4,935.7755,Bullish,★★★★☆ ↓,13.65,0.0,9.97,Possible,Likely soon,Not imminent,2.4,Increasing,1.0,13.65,48.361,41.3189,7.0421,96.27,96.1,783.2572,1079.286,913.35,747.414,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,1028.15,High,,1.0,3,New
XOM,Energy,117.67,-0.01,66.12,59.56,Neutral,1.77,115.6637,Bullish,★★★★☆ →,3.99,0.0,1.73,No,Not expected,Not imminent,2.2,Increasing,0.2,3.99,1.2736,1.0838,0.1898,81.17,80.63,108.0042,119.6453,115.4156,111.1859,Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,117.51,Low,,6.0,3,New
PFE,Healthcare,25.36,1.14,64.51,59.03,Neutral,2.69,24.7958,Bullish,★★★★☆ →,6.22,0.0,2.3,No,Not expected,Not imminent,1.8,Increasing,0.02,6.22,0.2779,0.1864,0.0916,52.27,60.96,23.952,25.8417,24.573,23.3043,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,25.45,Low,,5.0,3,New
SLV,Unknown,45.95,1.06,55.24,55.57,Neutral,2.58,45.1266,Bullish,★★★☆☆ →,7.51,0.0,1.82,No,Not expected,Not imminent,1.9,Decreasing,0.03,7.51,0.5588,0.464,0.0948,53.68,64.68,34.8917,47.8135,44.5855,41.3575,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,46.17,Low,,4.0,3,New
GOOGL,Communication Services,281.25,-1.32,50.39,58.09,Neutral,3.39,275.9112,Bullish,★★★☆☆ →,1.34,0.0,1.93,No,Not expected,Not imminent,2.3,Increasing,0.12,1.34,4.2544,6.1865,-1.9321,50.08,53.62,193.3902,299.4141,276.8595,254.3049,Above VWAP; Above BB Middle,281.02,Low,,12.0,3,New
GDX,Unknown,75.3,0.47,50.3,52.43,Neutral,3.51,74.5814,Neutral,★★★☆☆ →,10.28,0.0,0.96,No,Not expected,Not imminent,1.9,Decreasing,0.03,10.28,0.6392,0.2533,0.386,61.77,69.17,54.0381,78.8975,73.273,67.6485,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,75.99,Low,,2.0,3,New
DE,Industrials,474.66,-0.28,49.14,54.03,Neutral,2.16,471.2634,Neutral,★★★☆☆ →,1.36,0.0,0.72,No,Not expected,Not imminent,1.8,Increasing,0.01,1.36,2.7088,2.8551,-0.1463,69.42,70.26,470.8674,482.9222,471.593,460.2639,Above VWAP; Above BB Middle,474.95,Low,,11.0,3,New
ADBE,Technology,324.21,-0.26,43.89,36.58,Neutral,2.14,335.3959,Bearish,★★★☆☆ →,-3.32,0.0,-3.34,No,Not expected,Not imminent,2.2,Decreasing,0.0,-3.32,-4.2618,-3.5913,-0.6705,10.53,18.23,392.5836,361.1611,338.6305,316.0999,Balanced metrics,323.06,Low,,20.0,3,New
COST,Consumer Defensive,910.21,-0.26,39.43,41.96,Neutral,1.56,922.3879,Bearish,★★★☆☆ →,-3.25,0.0,-1.32,No,Not expected,Not imminent,2.1,Increasing,0.0,-3.25,-3.8368,-2.8946,-0.9422,19.2,28.65,961.1957,944.5588,923.6075,902.6561,Balanced metrics,910.15,Low,,19.0,3,New
CRM,Technology,232.44,-1.94,36.38,37.59,Neutral,3.22,245.1036,Bearish,★★☆☆☆ →,-8.65,0.0,-5.17,No,Not expected,Not imminent,1.9,Decreasing,0.0,-8.65,-3.7562,-1.799,-1.9571,14.79,22.96,276.0284,265.8796,248.9085,231.9374,Balanced metrics,234.35,Low,,33.0,3,New
SPY,Unknown,659.31,-0.96,34.97,38.76,Neutral,1.29,673.0953,Bearish,★★☆☆☆ →,-2.36,0.0,-2.05,No,Not expected,Not imminent,2.2,Increasing,0.05,-2.36,-2.364,0.5973,-2.9613,20.63,34.07,604.9521,692.0734,676.63,661.1866,Above VWAP,662.34,Low,,17.0,,New
CVX,Energy,151.87,-1.91,32.92,43.82,Neutral,2.04,154.5873,Bearish,★★☆☆☆ →,-0.99,0.0,-1.76,No,Not expected,Not imminent,2.3,Increasing,0.0,-0.99,-0.0707,0.1273,-0.198,39.37,47.65,148.4592,158.0074,154.8295,151.6516,Above VWAP,151.28,Low,,16.0,,New
GLD,Unknown,374.05,0.64,32.83,52.35,Neutral,1.68,373.2988,Neutral,★★☆☆☆ →,3.24,0.0,0.2,No,Not expected,Not imminent,2.2,Decreasing,0.03,3.24,1.352,1.4974,-0.1454,47.35,61.12,314.4914,386.145,372.3493,358.5536,Above VWAP; Above BB Middle,374.6,Low,,7.0,,New
QQQ,Unknown,595.32,-1.38,32.64,39.04,Neutral,1.87,612.8259,Bearish,★★☆☆☆ →,-3.86,0.0,-2.86,No,Not expected,Not imminent,2.3,Increasing,0.05,-3.86,-3.7112,0.2855,-3.9967,17.32,26.24,537.1845,640.264,618.1605,596.057,Above VWAP,597.98,Low,,23.0,,New
